ds,yhat,sku_id,qty_total,revenue,price,forecasted_revenue,abs_error,pct_error,weighted_error
2025-02-03,0.09002051524066709,46303774477,0.0,0.0,0.0,0.0,0.09002051524066709,,0.0
2025-02-10,0.06757673439441048,46303774477,0.0,0.0,0.0,0.0,0.06757673439441048,,0.0
2025-02-17,0.05093794426256433,46303774477,0.0,0.0,0.0,0.0,0.05093794426256433,,0.0
2025-02-24,0.06321904813842394,46303774477,0.0,0.0,0.0,0.0,0.06321904813842394,,0.0
2025-02-03,0.19614116241276527,46303862950,0.0,0.0,0.0,0.0,0.19614116241276527,,0.0
2025-02-10,0.19129356547487428,46303862950,2.0,0.0,0.0,0.0,1.8087064345251258,0.9043532172625629,0.0
2025-02-17,0.18486925319637054,46303862950,0.0,1230.6,0.0,0.0,0.18486925319637054,,227.50010298345356
2025-02-24,0.1945748648600068,46303862950,2.0,0.0,0.0,0.0,1.8054251351399933,0.9027125675699966,0.0
2025-02-03,0.131587527694681,46303877432,1.0,729.3,729.3,95.96678394773085,0.868412472305319,0.868412472305319,633.3332160522691
2025-02-10,0.2048412131110906,46303877432,16.0,1295.4,80.9625,16.584456716506676,15.795158786888909,0.9871974241805568,20461.048692535893
2025-02-17,0.26121061185558747,46303877432,1.0,1295.4,1295.4,338.37222659772806,0.7387893881444125,0.7387893881444125,957.027773402272
2025-02-24,0.24559494689197825,46303877432,4.0,647.7,161.925,39.76796177548358,3.7544050531080218,0.9386012632770054,2431.7281528980657
2025-02-03,0.777681003025826,46303948414,1.0,716.1,716.1,556.897366266794,0.222318996974174,0.222318996974174,159.20263373320603
2025-02-10,0.7070020869042941,46303948414,0.0,0.0,0.0,0.0,0.7070020869042941,,0.0
2025-02-17,0.7713895679652031,46303948414,0.0,0.0,0.0,0.0,0.7713895679652031,,0.0
2025-02-24,0.8929815708008868,46303948414,0.0,0.0,0.0,0.0,0.8929815708008868,,0.0
2025-02-03,0.3889084119795315,46308044959,0.0,0.0,0.0,0.0,0.3889084119795315,,0.0
2025-02-10,0.3411790262947175,46308044959,0.0,0.0,0.0,0.0,0.3411790262947175,,0.0
2025-02-17,0.47317388388179205,46308044959,0.0,0.0,0.0,0.0,0.47317388388179205,,0.0
2025-02-24,0.6213504070844966,46308044959,0.0,0.0,0.0,0.0,0.6213504070844966,,0.0
2025-02-03,0.33293753556508987,46310250952,0.0,0.0,0.0,0.0,0.33293753556508987,,0.0
2025-02-10,0.2956168368477799,46310250952,0.0,0.0,0.0,0.0,0.2956168368477799,,0.0
2025-02-17,0.34572900109928817,46310250952,0.0,0.0,0.0,0.0,0.34572900109928817,,0.0
2025-02-24,0.4259984162682723,46310250952,0.0,0.0,0.0,0.0,0.4259984162682723,,0.0
2025-02-03,0.8002706515206934,46310280482,0.0,0.0,0.0,0.0,0.8002706515206934,,0.0
2025-02-10,0.978661303259813,46310280482,0.0,0.0,0.0,0.0,0.978661303259813,,0.0
2025-02-17,1.034741423595541,46310280482,0.0,0.0,0.0,0.0,1.034741423595541,,0.0
2025-02-24,0.977602683109724,46310280482,0.0,0.0,0.0,0.0,0.977602683109724,,0.0
2025-02-03,0.7651740942283829,46310291987,0.0,0.0,0.0,0.0,0.7651740942283829,,0.0
2025-02-10,0.7166379430387982,46310291987,0.0,0.0,0.0,0.0,0.7166379430387982,,0.0
2025-02-17,0.7005869971867045,46310291987,0.0,0.0,0.0,0.0,0.7005869971867045,,0.0
2025-02-24,0.7661087806990021,46310291987,0.0,0.0,0.0,0.0,0.7661087806990021,,0.0
2025-02-03,0.4132984858629105,46310334441,2.0,0.0,0.0,0.0,1.5867015141370895,0.7933507570685447,0.0
2025-02-10,0.31842591076014587,46310334441,6.0,3453.3,575.5500000000001,183.27003293800198,5.681574089239854,0.946929014873309,19620.17980237199
2025-02-17,0.4174477227129251,46310334441,1.0,1416.0,1416.0,591.1059753615019,0.5825522772870749,0.5825522772870749,824.8940246384981
2025-02-24,0.5526915971516816,46310334441,2.0,2301.6,1150.8,636.0374900021551,1.4473084028483183,0.7236542014241591,3331.1250199956894
2025-02-03,1.526590496225232,4636511797,0.0,0.0,0.0,0.0,1.526590496225232,,0.0
2025-02-10,1.5933896063031185,4636511797,1.0,1289.7,1289.7,2054.994575249132,0.5933896063031185,0.5933896063031185,765.294575249132
2025-02-17,1.9081065168290954,4636511797,1.0,1289.7,1289.7,2460.8849747544846,0.9081065168290954,0.9081065168290954,1171.1849747544843
2025-02-24,2.0840088621952457,4636511797,0.0,0.0,0.0,0.0,2.0840088621952457,,0.0
2025-02-03,0.5909050224008334,46365131910,0.0,0.0,0.0,0.0,0.5909050224008334,,0.0
2025-02-10,0.6043679354445651,46365131910,3.0,2999.4,999.8000000000001,604.2470618574763,2.3956320645554348,0.7985440215184783,7185.458814427571
2025-02-17,0.6939538803371241,46365131910,0.0,0.0,0.0,0.0,0.6939538803371241,,0.0
2025-02-24,0.7213632847254866,46365131910,7.0,5998.8,856.9714285714286,618.1877246301785,6.278636715274513,0.8969481021820733,37664.28592758875
2025-02-03,0.07606583968073075,46381587960,1.0,4493.7,4493.7,341.81706377329976,0.9239341603192692,0.9239341603192692,4151.8829362267
2025-02-10,0.029346585533197078,46381587960,0.0,0.0,0.0,0.0,0.029346585533197078,,0.0
2025-02-17,0.04642868566469832,46381587960,0.0,0.0,0.0,0.0,0.04642868566469832,,0.0
2025-02-24,0.08497338027716117,46381587960,1.0,0.0,0.0,0.0,0.9150266197228388,0.9150266197228388,0.0
